Layers,Units,Epochs,Batch Size,Activation,Optimizer,Loss,Predictions,MAPE
3,50,30,32,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[189.26022, 190.96405, 239.19084, 374.5597, 467.85272, 745.50397, 1383.0026, 2844.1553]",5.257248235035899
3,50,30,32,tanh,adam,mse,"[181.85999, 205.3696, 218.25034, 219.40736, 219.43813, 219.44543, 219.44592, 219.44594]",0.508098183469494
3,50,30,32,tanh,adam,huber_loss,"[118.088264, 117.24675, 117.45936, 119.04973, 119.026344, 119.13286, 119.27835, 119.2858]",0.21433712740492755
3,50,30,32,tanh,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[68.27743, 72.940994, 88.71123, 98.8794, 99.14638, 81.55137, 77.03491, 86.94706]",0.43002811487475145
3,50,30,32,tanh,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[178.05463, 177.40102, 178.30304, 181.09738, 181.08707, 181.10785, 181.15706, 181.15692]",0.32490051785273333
3,50,30,32,tanh,rmsprop,mse,"[121.958244, 120.344345, 121.62441, 124.96347, 124.87391, 125.556145, 126.337585, 126.42605]",0.19182395376244632
3,50,30,32,tanh,rmsprop,huber_loss,"[113.62835, 113.59868, 113.61024, 113.61839, 113.61835, 113.61838, 113.61839, 113.61839]",0.2393684345536775
3,50,30,32,tanh,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[76.980064, 76.97943, 76.97877, 76.97813, 76.97813, 76.97813, 76.97813, 76.97813]",0.48464797808705595
3,50,30,32,tanh,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[162.35806, 162.33667, 162.85808, 164.71422, 164.72298, 164.753, 164.8026, 164.80319]",0.2506127565214914
3,50,50,16,relu,adam,mse,"[192.50742, 19.82104, -235.04178, 5.1460614, 61.757107, 63.29466, 51.14889, 70.790184]",0.7645491420034625
3,50,50,16,relu,adam,huber_loss,"[195.81602, 59.530693, 43.15577, 42.116405, 61.193096, 63.573856, 63.56905, 96.89687]",0.5051956295096613
3,50,50,16,relu,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[187.00206, 146.05713, 219.87653, 697.15295, 592.4979, 2995.8223, 12804.152, 19617.018]",36.15989885451276
3,50,50,16,relu,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[195.22029, 311.82687, 524.00037, 1499.5668, 4198.2944, 14126.537, 59098.508, 202240.28]",290.62228701371697
3,50,50,16,relu,rmsprop,mse,"[121.31942, 120.87536, 122.011215, 124.90559, 125.16005, 125.7709, 126.42469, 126.60137]",0.19120327620183955
3,50,50,16,relu,rmsprop,huber_loss,"[128.81596, 126.999016, 131.81021, 141.77444, 143.7372, 149.8531, 157.04349, 161.66133]",0.23046141213528004
3,50,50,16,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[77.12813, 77.12904, 77.129776, 77.1307, 77.1307, 77.1307, 77.1307, 77.1307]",0.4836322127154248
3,50,50,16,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[189.24318, 187.21811, 210.21881, 280.84204, 295.92236, 350.20868, 443.3742, 505.64166]",1.2576712268793293
3,50,50,16,tanh,adam,mse,"[196.31583, 98.59288, 214.6577, 215.32281, 214.58644, 215.3501, 215.35056, 215.35002]",0.4808016889811
3,50,50,16,tanh,adam,huber_loss,"[196.63509, 246.27554, 83.51185, 91.30936, 242.20605, 236.83017, 89.848785, 162.2064]",0.5214264142655721
3,50,50,16,tanh,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[100.84534, 77.068306, 68.77251, 82.16704, 86.94619, 86.05048, 91.63006, 98.31865]",0.4174700268057724
3,50,50,16,tanh,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[198.19615, 168.84747, 213.76616, 220.3106, 220.02905, 220.48006, 220.51248, 220.5114]",0.4762422275161242
3,50,50,16,tanh,rmsprop,mse,"[128.20421, 118.48015, 128.93225, 148.8094, 147.28912, 175.72006, 206.17549, 221.82327]",0.38321267306541246
3,50,50,16,tanh,rmsprop,huber_loss,"[114.140945, 113.931656, 113.93674, 114.08262, 114.08023, 114.08142, 114.08341, 114.0834]",0.2364203615649504
3,50,50,16,tanh,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[76.976974, 76.980286, 76.98417, 76.98813, 76.98813, 76.98813, 76.98813, 76.98813]",0.484597970741862
3,50,50,16,tanh,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[196.09438, 193.45653, 203.56528, 216.22168, 216.23425, 217.00279, 217.64308, 217.65236]",0.48691256178220277
3,50,50,32,relu,adam,mse,"[198.74243, 65.35649, 127.93062, 135.47841, 85.21974, 85.10354, 128.23923, 162.54388]",0.29846668448568625
3,50,50,32,relu,adam,huber_loss,"[193.89294, 59.989086, 34.061474, 63.85152, 71.71912, 63.435463, 116.953094, 98.16766]",0.43235928124923273
3,50,50,32,relu,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[113.14564, 85.54996, 77.24065, 98.34778, 97.6507, 91.13785, 74.330055, 81.09435]",0.4035383630325608
3,50,50,32,relu,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[197.28407, 229.01027, 293.46518, 541.35693, 802.94305, 1569.9806, 3920.5532, 9026.517]",15.540805922870128
3,50,50,32,relu,rmsprop,mse,"[141.15756, 128.74455, 170.11388, 278.91843, 555.9343, 1597.8728, 6090.882, 25581.652]",34.972521538433455
3,50,50,32,relu,rmsprop,huber_loss,"[113.83887, 113.79694, 113.81979, 113.89289, 113.8928, 113.89341, 113.89409, 113.89409]",0.23765993302604
3,50,50,32,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[76.9715, 76.97149, 76.971756, 76.972115, 76.972115, 76.972115, 76.972115, 76.972115]",0.48469171113375825
3,50,50,32,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[188.81166, 187.94098, 213.48181, 285.10925, 306.68024, 371.52786, 479.14114, 575.4469]",1.3988515872412997
3,50,50,32,tanh,adam,mse,"[196.59077, 108.204895, 177.9323, 135.26819, 180.27184, 127.44391, 114.147736, 128.97578]",0.1674275736740698
3,50,50,32,tanh,adam,huber_loss,"[196.4404, 65.698235, 64.32476, 115.36239, 145.50317, 67.13789, 66.612335, 204.63962]",0.43295314244069383
3,50,50,32,tanh,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[102.558525, 63.16863, 74.358215, 105.24161, 114.77296, 89.406235, 63.326656, 71.71432]",0.4285514630420763
3,50,50,32,tanh,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[195.32729, 164.38712, 179.39838, 232.47394, 230.96736, 232.0473, 233.03178, 233.02]",0.5501006833341257
3,50,50,32,tanh,rmsprop,mse,"[182.0461, 70.10183, 169.19725, 307.86703, 75.31529, 311.53012, 320.706, 223.75784]",0.8000008651607754
3,50,50,32,tanh,rmsprop,huber_loss,"[113.91566, 113.78239, 113.85975, 113.968094, 113.96734, 113.968796, 113.96996, 113.96996]",0.23724814262628163
3,50,50,32,tanh,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[77.07942, 77.08338, 77.08904, 77.09763, 77.09763, 77.09763, 77.09763, 77.09763]",0.48387639561900286
3,50,50,32,tanh,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[194.05379, 194.80304, 205.41112, 215.87958, 216.08539, 216.66467, 217.05557, 217.06822]",0.48615604062146356
3,64,30,16,relu,adam,mse,"[198.16908, 38.608643, -35.93101, -79.919586, 64.52958, 64.49234, 64.48992, 131.67276]",0.6707521066807419
3,64,30,16,relu,adam,huber_loss,"[199.37947, 72.430504, 97.74288, 445.87628, 262.61148, 1120.542, 5909.2944, 10442.525]",17.84991515826257
3,64,30,16,relu,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[74.89128, 73.116264, 87.14197, 89.972206, 90.2064, 91.26128, 90.08871, 89.88134]",0.4195922598761874
3,64,30,16,relu,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[194.40616, 196.51189, 202.01564, 202.24927, 202.34969, 199.50522, 199.11806, 198.43108]",0.4110553559319575
3,64,30,16,relu,rmsprop,mse,"[122.30835, 119.73019, 121.69374, 126.367096, 126.20971, 127.48997, 128.90387, 129.14998]",0.18837370418341762
3,64,30,16,relu,rmsprop,huber_loss,"[113.55212, 113.5498, 113.5504, 113.55181, 113.55181, 113.55181, 113.55181, 113.55181]",0.23980089768940682
3,64,30,16,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[77.16701, 77.16717, 77.167435, 77.167786, 77.167786, 77.167786, 77.167786, 77.167786]",0.48338181531884505
